Calories (g), Calories/Fat (g), Total Fat (g), Saturated Fat (g), Cholesterol (mg), Trans Fat (g), Sodium (mg), Total Carbs (g), Sugars (g), Dietary Fiber (g), Protein (g), Vitamin A, Vitamin C, Calcium, Iron
'BEEF FAJITA ON FLOUR WITH ROJA SAUCE', 416.0, 252.0, 28.0, 9.0, 67.0, 1.0, 693.0, 20.0, 4.0, 1.0, 24.0, 26.0, 35.0, 11.0, 10.0
'BRUSHFIRE ON FLOUR WITH DIABLO SAUCE', 281, 108, 12, 2, 67, 0, 876, 23, 7, 1, 22, 18, 42, 2, 5
'BRUSHFIRE ON CORN WITH DIABLO SAUCE', 301, 87, 10, 2, 67, 0, 696, 33, 6, 1, 21, 18, 42, 2, 5
'CHICKEN FAJITA ON CORN WITH TOMATILLO SAUCE', 374.0, 162.0, 18.0, 5.0, 74.0, 0.0, 449.0, 29.0, 3.0, 1.0, 25.0, 22.0, 36.0, 11.0, 5.0
'CHICKEN FAJITA ON FLOUR WITH TOMATILLO SAUCE', 354.0, 180.0, 20.0, 5.0, 74.0, 0.0, 629.0, 19.0, 4.0, 1.0, 26.0, 22.0, 36.0, 11.0, 5.0
'CROSSROADS ON CORN WITH TOMATILLO SAUCE', 439, 243, 27, 9, 70, 2, 835, 27, 1, 1, 23, 9, 9, 1, 9
'CROSSROADS ON FLOUR WITH TOMATILLO SAUCE', 419, 263, 29, 9, 70, 2, 1015, 17, 2, 1, 24, 9, 9, 1, 9
'DEMOCRAT ON CORN WITH TOMATILLO SAUCE', 243, 72, 8, 3, 19, 0, 1092, 32, 1, 3, 10, 34, 21, 8, 7
'DEMOCRAT ON FLOUR WITH TOMATILLO SAUCE', 223, 88, 10, 3, 19, 0, 1272, 22, 2, 3, 11, 34, 21, 8, 7
'FRIED AVOCADO ON CORN WITH POBLANO SAUCE', 387.0, 171.0, 19.0, 6.0, 39.0, 0.0, 559.0, 45.0, 3.0, 5.0, 12.0, 13.0, 13.0, 15.0, 8.0
'FRIED AVOCADO ON FLOUR WITH POBLANO SAUCE', 367.0, 189.0, 21.0, 6.0, 39.0, 0.0, 739.0, 35.0, 4.0, 5.0, 13.0, 13.0, 13.0, 15.0, 8.0
